mukey,pm_dom,comppct_dom,n_pm
61825,colluvium derived from andesite and basalt mixed with volcanic ash,80,1
61838,colluvium and glacial till from andesite and basalt mixed with volcanic ash,60,1
61859,colluvium and glacial till from basalt and andesite mixed with volcanic ash,55,1
62061,colluvium derived from schist,85,1
62086,colluvium derived from schist,85,1
62111,colluvium derived from greenstone,60,1
62123,colluvium derived from andesite and rhyolite,85,1
62124,colluvium derived from andesite and rhyolite,85,1
62125,colluvium derived from andesite and rhyolite,85,1
62155,colluvium derived from basalt and loess,85,1
62157,colluvium derived from basalt and loess,50,2
62158,colluvium derived from basalt and loess,50,2
62213,colluvium and residuum from quartz diorite and related rocks with volcanic ash in the surface layer,55,1
62260,colluvium derived from tuff over metamorphic bedrock,45,2
62272,colluvium derived from rhyolite and andesite with volcanic ash in the surface layer,85,1
62396,residuum and colluvium derived from sedimentary rock,85,1
62880,loess and residuum weathered from basalt,85,1
62886,loess,50,2
62895,loess and colluvium,85,1
62898,"residuum and colluvium derived from rhyolite, tuff, and volcanic ash",85,1
62899,colluvium derived from sedimentary rock,85,1
62900,"shallow, stony colluvium that is a mixture of loess, basalt fragments, and residuum weathered from basalt",85,1
62901,"shallow, stony colluvium that is a mixture of loess, basalt fragments, and residuum weathered from basalt",85,1
62902,mixed loess and colluvium and rhyolitic tuff,60,2
62907,colluvium and loess,85,1
62918,loess and colluvium derived from rhyolitic tuff,85,1
62920,loess and colluvium derived from rhyolitic tuff,60,1
62922,"old, calcareous colluvium",85,1
62923,"old, calcareous colluvium",85,1
62924,"old, calcareous colluvium",85,1
62925,"old, calcareous colluvium",85,1
62927,residuum and colluvium derived from shale,85,1
62929,loess and colluvium derived from basalt,60,1
62944,old alluvium over colluvium derived from consolidated and semiconsolidated sandstone,85,1
62959,loess and volcanic ash,90,1
62969,"volcanic ash, loess, and semiconsolidated colluvium derived from sedimentary rock",80,1
62971,"loess, volcanic ash, and colluvium derived from sandstone",60,1
62995,"loess, volcanic ash, and colluvium",60,2
63008,volcanic ash and loess over alluvium or colluvium derived from basalt or andesite,95,1
63027,old alluvium,90,1
63040,volcanic ash over colluvium and residuum derived from andesite,50,1
63053,colluvium residuum weathered from andesite rock with influence of volcanic ash,90,1
63061,colluvium residuum weathered from andesite and pyroclastic ash flow  with influence of volcanic ash,60,2
63093,colluvium residuum weathered from sedimentary rock with influence of volcanic ash,90,1
63110,colluvium residuum weathered from sedimentary rock with influence of volcanic ash,50,1
63112,colluvium residuum weathered from sedimentary rock with influence of volcanic ash,50,1
63163,volcanic ash and pumice residuum and colluvium,90,1
63167,volcanic ash and pumice residuum and colluvium,90,1
63227,colluvium residuum weathered from sedimentary rock with influence of volcanic ash,80,1
63272,colluvium residuum from andesite and basalt with influence of volcanic ash,80,1
63291,colluvium residuum from andesite and basalt with influence of volcanic ash,60,2
63296,colluvium residuum from andesite and basalt with influence of volcanic ash,60,2
63313,colluvium residuum from andesite with influence of volcanic ash,90,1
63314,colluvium residuum from andesite with influence of volcanic ash,90,1
63322,colluvium residuum from andesite with influence of volcanic ash,90,1
63323,colluvium residuum from andesite with influence of volcanic ash,80,1
63326,pyroclastic ash flow and andesite residuum and colluvium with ash influence,55,2
63336,colluvium residuum weathered from tuff with influence of volcanic ash,85,1
63346,colluvium residuum weathered from andesite rock with mantle of volcanic ash,50,1
63348,colluvium residuum weathered from andesite rock with mantle of volcanic ash,50,1
63358,colluvium residuum weathered from tuff rock with influence of volcanic ash,80,1
63364,colluvium residuum weathered from sedimentary rock,50,1
63369,colluvium residuum weathered from andesite rock with influence of volcanic ash,85,1
63373,colluvium residuum weathered from andesite rock with influence of volcanic ash,85,1
63374,colluvium residuum weathered from andesite rock and pyroclastic ash flow with influence of volcanic ash,50,2
63376,colluvium derived from volcanic rock or metavolcanic rock,60,2
63389,volcanic ash over colluvium derived from volcanic rock,50,2
63404,volcanic ash over old alluvium,90,1
63407,volcanic ash over old alluvium,90,1
63417,colluvium derived from tuff,50,2
63420,volcanic ash over residuum weathered from basalt or welded tuff,85,1
63429,volcanic ash over colluvium and/or residuum weathered from volcanic rock,50,2
63432,volcanic ash over colluvium derived from volcanic rock,90,1
63433,volcanic ash over colluvium derived from volcanic rock,50,2
63435,volcanic ash over colluvium derived from volcanic rock,55,2
63442,volcanic ash and pumice over colluvium and old alluvium derived from volcanic rock,85,1
63450,volcanic ash and pumice over old alluvium and colluvium derived from volcanic rock,85,1
63472,volcanic ash over basalt,40,1
63473,volcanic ash over basalt,35,1
63474,volcanic ash over glacial outwash,50,1
63480,lacustrine deposits,90,1
63491,volcanic ash and pumice over old alluvium and colluvium derived from volcanic rock,85,1
63496,volcanic ash over tuff or basalt,35,2
63498,volcanic ash over tuff or basalt,35,1
63520,volcanic ash over glacial outwash,50,1
63591,pumice over mixed alluvium,85,1
63633,volcanic ash over basalt,50,1
63724,volcanic ash over old alluvium,90,1
63749,volcanic ash over glacial outwash,50,1
63815,volcanic ash over basalt,50,1
63835,volcanic ash and colluvium over volcanic rock,35,2
63836,volcanic ash over residuum weathered from tuff,50,2
63851,volcanic ash and gravel-sized pumice derived from dacite,90,1
63852,volcanic ash and gravel-sized pumice derived from dacite,90,1
63858,volcanic ash and gravel-sized pumice derived from dacite,90,1
63880,volcanic ash over glacial outwash,90,1
63908,volcanic ash over residuum weathered from basalt,85,1
63918,volcanic ash over colluvium and residuum weathered from ash flow tuff,35,2
63933,colluvium and residuum derived from basalt and tuff with a mantle of loess and volcanic ash,90,1
63941,loess and colluvium derived from basalt and tuff,70,1
63945,colluvium derived from andesite and rhyolite mixed with loess and volcanic ash,85,1
63964,colluvium and residuum derived from basalt with loess and volcanic ash,85,1
63965,colluvium and residuum from basalt with loess and volcanic ash in the surface layer,85,1
63966,colluvium and residuum from basalt with loess and volcanic ash in the surface layer,85,1
63967,colluvium and residuum from basalt with loess and volcanic ash in the surface layer,85,1
63968,colluvium and residuum from basalt with loess and volcanic ash in the surface layer,50,1
63979,colluvium and residuum derived from basalt with a mantle of volcanic ash,85,1
63984,loess,85,1
64002,loess and colluvium from basalt with a mantle of volcanic ash,90,1
64003,loess and colluvium from basalt with a mantle of volcanic ash,85,1
64410,volcanic ash over mixed loess and colluvium derived from basalt,40,2
64419,loess and volcanic ash over colluvium from basalt,50,2
64437,loess over colluvium derived from basalt,50,2
64488,loess mixed with residuum and colluvium from basalt,38,2
64489,loess mixed with residuum and colluvium from basalt,55,1
64491,volcanic ash mixed with loess over colluvium from tuffaceous material,65,2
64505,loess and volcanic ash mixed with colluvium from basalt,50,3
64506,loess and volcanic ash mixed with colluvium from basalt,45,3
64590,loess and a small amount of volcanic ash,85,1
64592,volcanic ash over mixed loess and colluvium derived from basalt,75,1
64593,volcanic ash over mixed loess and colluvium derived from basalt,75,1
66285,colluvium derived from metamorphic rock,45,2
67312,residuum and colluvium from granitic rocks mixed in the surface with loess and volcanic ash,80,1
67321,volcanic ash and pumice mixed with colluvium from granitic rocks,40,2
67327,volcanic ash and pumice,50,2
67343,colluvium and residuum from igneous and metamorphic rock mixed with volcanic ash,40,2
67395,volcanic ash mixed with colluvium derived from granodiorite,40,2
67397,"volcanic ash mixed with colluvium derived from igneous, metamorphic and/or sedimentary rock",40,2
67401,"volcanic ash mixed with colluvium derived from igneous, metamorphic and/or sedimentary rock",40,2
